subplot,plot,INDEX,date,VI,filename
5P5,5P,NDRE,2011-02-14,0.0086720656503790194,NDRE_2011-02-14.tif
5P1,5P,NDRE,2011-02-14,0.016323003086394498,NDRE_2011-02-14.tif
5P2,5P,NDRE,2011-02-14,0.011683525163741586,NDRE_2011-02-14.tif
ET1,ET,NDRE,2011-02-14,0.015159379189404158,NDRE_2011-02-14.tif
5P3,5P,NDRE,2011-02-14,0.011048043728806078,NDRE_2011-02-14.tif
5P4,5P,NDRE,2011-02-14,0.007230930874357,NDRE_2011-02-14.tif
BB4,BB,NDRE,2011-02-14,0.012380579287898453,NDRE_2011-02-14.tif
BB3,BB,NDRE,2011-02-14,0.017915157950483263,NDRE_2011-02-14.tif
BB2,BB,NDRE,2011-02-14,0.014750817409631882,NDRE_2011-02-14.tif
BB1,BB,NDRE,2011-02-14,0.020535708015339205,NDRE_2011-02-14.tif
ST1,ST,NDRE,2011-02-14,0.011855287774233147,NDRE_2011-02-14.tif
ET2,ET,NDVI,2011-07-04,0.10492294083038965,NDVI_2011-07-04.tif
5P5,5P,NDVI,2011-07-04,0.087205975183418813,NDVI_2011-07-04.tif
5P1,5P,NDVI,2011-07-04,0.10326547991661798,NDVI_2011-07-04.tif
5P2,5P,NDVI,2011-07-04,0.097558304667472839,NDVI_2011-07-04.tif
ET1,ET,NDVI,2011-07-04,0.088067208918241352,NDVI_2011-07-04.tif
5P3,5P,NDVI,2011-07-04,0.096761805936694145,NDVI_2011-07-04.tif
5P4,5P,NDVI,2011-07-04,0.088918957859277725,NDVI_2011-07-04.tif
BB4,BB,NDVI,2011-07-04,0.084904430543675136,NDVI_2011-07-04.tif
BB3,BB,NDVI,2011-07-04,0.084745723754167557,NDVI_2011-07-04.tif
BB2,BB,NDVI,2011-07-04,0.089825288477269088,NDVI_2011-07-04.tif
BB1,BB,NDVI,2011-07-04,0.092602033330046615,NDVI_2011-07-04.tif
ST1,ST,NDVI,2011-07-04,0.094335470721125608,NDVI_2011-07-04.tif
