Site,Y,Species,DBH,D1,D2,D3,D4,D5,D6,HEIGHT,BB,,
PJC,2014,PIED,2.4,2.8,2.2,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.4,2.3,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.4,2.5,1.9,0,0,0,0,2,Y,,
PJC,2014,PIED,2.4,0,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.4,0,0,0,0,0,0,0.4,Y,,
PJC,2014,PIED,2.4,0,0,0,0,0,0,1.2,Y,,
PJC,2014,PIED,2.4,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.4,0,0,0,0,0,0,1.2,Y,,
PJC,2014,PIED,2.4,0,0,0,0,0,0,1.9,Y,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,0.8,N,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,0.4,N,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,1.7,Y,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,0.4,N,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,2,N,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,0.6,N,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,2.1,Y,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,0.6,N,,
PJC,2015,PIED,2.4,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.45,1.75,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.5,0,0,0,0,0,0,2.3,Y,,
PJC,2014,PIED,2.5,6.7,5,0,0,0,0,3.2,Y,,
PJC,2014,PIED,2.5,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,2.5,2.4,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.5,2,1.7,0,0,0,0,1.8,Y,,
PJC,2014,PIED,2.5,0,0,0,0,0,0,0.8,Y,,
PJC,2014,PIED,2.5,2.2,1.8,0,0,0,0,2.3,Y,,
PJC,2014,PIED,2.5,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.5,1.9,1.5,0,0,0,0,2.1,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,0.5,N,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,1.9,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,0.7,Y,,
PJC,2015,PIED,2.5,2.1,0,0,0,0,0,2.6,Y,,
