BM_vol,BM_vol_dens,BM_vol_dens_sd,BM_vol_sd,ESD_vol,ESD_vol_dens,ESD_vol_dens_sd,ESD_vol_sd,region
137.3848743733,202.1607301896,24.7074938758,36.283478508,38.2760520418,45.8745394301,2.6463228912,4.9064466881,1514
117.4701613199,216.8429541503,14.8985474872,21.4369900757,35.5325966638,46.2904651702,2.3155033424,3.5368090599,5516
154.3848775202,215.8122146637,39.2994894537,27.4984417695,39.6606548619,46.7219459875,3.3961593562,3.7240741936,15751
157.8517114316,234.0328588031,31.6901720976,25.197721284,40.8084788801,48.6197405173,3.659570633,3.1465044096,8669
138.9820737144,235.2690157288,44.9161149335,21.6325507171,38.2591214507,48.1859751935,4.4099759272,2.8283549149,23693
146.2501337612,204.1102712156,29.9669191821,43.8919368137,39.49190576,45.8480829721,3.4475480629,5.1287092351,12655
196.2650950051,225.838770377,38.7259204108,47.3226388671,44.4471801803,48.9918454357,3.9373333817,4.4898844075,10008
137.5708636861,218.6163374101,34.794086647,33.0593701923,38.1653352721,46.486140076,3.2328728834,3.9410624971,17522
145.0277488872,196.0395089589,39.8589500245,32.8937010128,37.7219019491,45.7880425919,4.3070793847,5.1658811321,3869
129.0778656049,215.9761824151,43.0151795699,37.5391955416,37.7219626901,46.3357451244,4.0893751202,4.8363220927,42850
240.6765389304,244.9856109488,56.7652926586,26.5424530801,48.9286279169,50.3213687378,5.0151809892,2.7838059908,14981
201.3826121638,236.4286095553,31.2680355745,15.6429715151,45.4241856533,48.6249189792,3.8903573001,1.8310055825,26812
178.789921209,227.7996876601,43.5792489235,42.1788398557,42.3299067173,47.8505588294,5.0221932602,4.5062751558,44525
162.3406127066,222.4468606853,24.0781801507,32.6625028349,41.6551798582,47.7626213829,2.7545810784,3.6087649194,6052
167.5513233929,200.2783802319,36.4261705352,27.3598418586,42.6496761194,45.4315005213,3.7129359951,3.9019272953,4941
406.6317002844,273.0722860513,31.0455678342,56.0137222767,62.9633168685,53.3042410395,3.5185829272,4.2912351645,8771
206.9893532914,232.8981390225,33.1998857676,30.097931062,45.9281719019,48.7343847767,3.3047538215,3.2947925443,7493
297.1536093282,276.0042001355,21.0271952683,45.7978077238,53.641315857,52.8277670834,2.2974913617,4.3836531142,7424
161.1614521343,236.3088960439,23.6073886107,41.3137977608,40.8363408141,48.7975786386,2.9727402858,5.1913423729,39494
114.2238232536,197.0236529854,35.9827525396,50.6280793992,35.0746605139,45.2893539211,3.9647679667,7.2752607171,26369
118.3198571306,177.9084576692,20.2372756541,26.1717223177,35.2060448329,42.6929398814,2.1137735857,3.3168682816,7034
239.7774391089,260.0123598525,43.1436213126,63.4323483597,48.3830972129,51.0617946941,4.0450110641,5.2203424902,5615
168.4565387738,247.8663083861,49.0587641577,62.9790184959,40.8079101636,50.7434294841,4.1557950035,6.5462654454,7496
